datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16,1209.17602539,34.922000885,93552.53125,5180.79980469,0.0,546.0,4926.0
2006-12-17,3390.45996094,226.005996704,345725.3125,14398.5996094,2033.0,4187.0,13341.0
2006-12-18,2203.82592773,161.792007446,347373.625,9247.20019531,1063.0,2621.0,14018.0
2006-12-19,1666.19396973,150.942001343,348479.0,7094.0,839.0,7602.0,6197.0
2006-12-20,2225.74804688,160.998001099,348923.625,9313.0,0.0,2648.0,14063.0
2006-12-21,1723.28796387,144.434005737,347096.40625,7266.39990234,1765.0,2692.0,10456.0
2006-12-22,2341.33789062,186.906005859,347305.75,9897.0,3151.0,350.0,11131.0
2006-12-23,4773.38623047,221.470001221,345795.9375,20200.4003906,2669.0,425.0,14726.0
2006-12-24,2550.01196289,149.899993896,348029.90625,11002.2001953,1703.0,5082.0,6891.0
2006-12-25,2743.12011719,240.279998779,350495.90625,11450.2001953,6620.0,1962.0,5795.0
2006-12-26,3934.11010742,165.102005005,347940.625,16341.0,1086.0,2533.0,14979.0
2006-12-27,1528.76000977,178.902008057,351025.0,6505.20019531,0.0,314.0,6976.0
2006-12-28,2072.63793945,208.87600708,350306.40625,8764.20019531,2207.0,4419.0,9176.0
2006-12-29,3174.39208984,196.393997192,346854.6875,13350.7998047,1252.0,5162.0,11329.0
2006-12-30,2796.10791016,312.141998291,346377.15625,11952.5996094,3072.0,7893.0,12516.0
2006-12-31,3494.19604492,150.852005005,345451.0625,14687.4003906,0.0,347.0,6502.0
2007-01-01,2749.00390625,148.166000366,345785.71875,11400.4003906,0.0,352.0,5880.0
2007-01-02,1269.23596191,190.341995239,348399.03125,5348.20019531,0.0,348.0,6562.0
2007-01-03,1014.05401611,196.727996826,350722.21875,4340.20019531,0.0,344.0,4765.0
2007-01-04,3259.41210938,202.302001953,345240.4375,13648.5996094,1051.0,7597.0,10896.0
2007-01-05,2713.36401367,173.154006958,346313.90625,11354.5996094,1483.0,379.0,7602.0
2007-01-06,1508.37805176,192.18800354,345129.1875,6543.20019531,1336.0,402.0,5678.0
2007-01-07,2447.62011719,246.074005127,346899.59375,10487.0,1987.0,8177.0,12810.0
2007-01-08,2241.36010742,207.567993164,344990.8125,9434.40039062,0.0,467.0,17547.0
2007-01-09,1869.05395508,207.248001099,346302.03125,7950.39990234,1688.0,4267.0,9790.0
2007-01-10,2154.80004883,228.45199585,347079.53125,9155.20019531,771.0,4456.0,11012.0
2007-01-11,2255.1940918,230.020004272,347264.1875,9588.0,1378.0,2170.0,12415.0
2007-01-12,1461.29602051,199.13999939,347815.03125,6205.20019531,0.0,439.0,8276.0
2007-01-13,3186.81396484,290.735992432,344568.40625,13612.4003906,7806.0,2975.0,11341.0
2007-01-14,3009.44189453,227.277999878,343904.46875,12912.2001953,1777.0,4215.0,12975.0
2007-01-15,2148.67797852,174.86000061,347386.90625,9016.59960938,1099.0,2239.0,15163.0
2007-01-16,1686.40405273,185.427993774,348400.4375,7165.39990234,2063.0,644.0,6583.0
2007-01-17,2847.68798828,200.751998901,347047.5625,11928.7998047,3500.0,5737.0,16064.0
2007-01-18,1821.46203613,177.712005615,346886.78125,7693.20019531,0.0,336.0,13491.0
2007-01-19,1480.43994141,170.052001953,345831.75,6301.79980469,2103.0,330.0,7172.0
2007-01-20,3133.73193359,238.361999512,343969.15625,13461.2001953,4324.0,5222.0,11440.0
2007-01-21,3407.26196289,229.73600769,344114.09375,14674.5996094,10346.0,5567.0,11599.0
2007-01-22,2180.49389648,168.641998291,347908.5,9151.59960938,1054.0,2983.0,11361.0
2007-01-23,1777.64001465,138.279998779,349578.09375,7575.60009766,0.0,1064.0,5061.0
2007-01-24,2987.85400391,178.059997559,347699.09375,12576.4003906,3464.0,2480.0,11744.0
2007-01-25,1596.34399414,144.160003662,350531.09375,6666.20019531,1158.0,262.0,11239.0
2007-01-26,1617.9720459,142.901992798,349591.375,6798.79980469,1163.0,261.0,8238.0
2007-01-27,2044.07202148,148.242004395,347927.875,8567.79980469,1170.0,3896.0,12374.0
2007-01-28,3091.58789062,153.425994873,346039.25,13149.0,3466.0,3998.0,12063.0
2007-01-29,1982.66394043,165.695999146,346938.625,8336.0,1123.0,294.0,15254.0
2007-01-30,1707.79797363,180.934005737,348250.875,7240.60009766,1123.0,1424.0,8149.0
2007-01-31,2363.75195312,185.988006592,345486.4375,9970.0,0.0,5950.0,15052.0
2007-02-01,1824.76000977,150.264007568,346164.6875,7678.79980469,1170.0,386.0,13145.0
2007-02-02,1667.73596191,139.542007446,346081.53125,7014.0,0.0,356.0,11338.0
2007-02-03,4029.72192383,245.824005127,344030.6875,17015.0,4746.0,4573.0,17834.0
2007-02-04,3595.93994141,186.494003296,345072.0,15214.2001953,3391.0,4597.0,14472.0
2007-02-05,1645.2800293,147.227996826,346766.84375,6941.39990234,896.0,2564.0,7849.0
2007-02-06,1273.47998047,142.565994263,347420.375,5431.60009766,1185.0,405.0,4517.0
2007-02-07,2328.01806641,177.708007812,347255.5625,9780.0,3299.0,3513.0,11986.0
2007-02-08,1801.41394043,138.895996094,348188.125,7557.60009766,2226.0,366.0,10157.0
2007-02-09,1620.19799805,158.065994263,348106.25,6807.20019531,0.0,3045.0,9770.0
2007-02-10,2829.32788086,192.973999023,345653.03125,11957.4003906,5071.0,2831.0,14405.0
2007-02-11,3571.22802734,204.313995361,344888.84375,15158.5996094,2430.0,4765.0,13114.0
2007-02-12,1877.60998535,136.703994751,345741.84375,7925.0,2227.0,399.0,11517.0
2007-02-13,1414.54602051,134.677993774,347280.28125,5967.0,0.0,2828.0,6256.0
2007-02-14,2498.67211914,202.505996704,346140.5625,10533.7998047,3295.0,3793.0,11579.0
2007-02-15,1985.34594727,165.964004517,346563.6875,8381.20019531,0.0,2363.0,14028.0
2007-02-16,1702.5279541,151.686004639,346782.15625,7267.0,1148.0,859.0,8689.0
2007-02-17,2076.91210938,238.968002319,344615.09375,8826.0,1765.0,2226.0,7157.0
2007-02-18,3829.76196289,255.522003174,344405.96875,16184.0,6107.0,8003.0,13129.0
2007-02-19,2186.61401367,176.583999634,345297.0,9276.79980469,1634.0,2900.0,13085.0
2007-02-20,3149.92797852,187.158004761,345406.25,13202.5996094,2058.0,5191.0,9713.0
2007-02-21,2072.87402344,189.869995117,346263.78125,8747.20019531,3527.0,2332.0,11548.0
2007-02-22,3374.35595703,138.460006714,343628.625,14214.2001953,1411.0,4132.0,12287.0
2007-02-23,1313.47998047,149.343994141,346587.78125,5508.60009766,0.0,503.0,10786.0
2007-02-24,714.92199707,122.202003479,345402.875,3003.60009766,0.0,363.0,3562.0
2007-02-25,501.739990234,113.736000061,348021.4375,2105.60009766,0.0,329.0,1660.0
2007-02-26,568.484008789,108.279998779,347433.96875,2388.80004883,0.0,331.0,2830.0
2007-02-27,518.111999512,113.20400238,349839.75,2195.39990234,0.0,314.0,1924.0
2007-02-28,520.773986816,113.372001648,348709.8125,2201.0,0.0,340.0,1973.0
