datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-17,4599.63623047,260.928009033,439277.84375,19579.4003906,2033.0,4733.0,18267.0
2006-12-24,17483.7929688,1176.4420166,2433004.25,74020.203125,11190.0,21420.0,77482.0
2006-12-31,19743.3242188,1452.54797363,2438450.75,83051.3984375,14237.0,22630.0,67273.0
2007-01-07,14961.0683594,1348.95397949,2428490.0,63122.1992188,5857.0,17599.0,54193.0
2007-01-14,16177.9599609,1590.4420166,2421924.5,68857.796875,13420.0,18989.0,83356.0
2007-01-21,16525.6660156,1376.90197754,2423636.75,70241.6015625,23435.0,20075.0,81512.0
2007-01-28,15295.9638672,1073.71203613,2439275.25,64485.3984375,11475.0,14944.0,72080.0
2007-02-04,17172.3710938,1254.74194336,2422024.75,72468.6015625,11553.0,17580.0,95244.0
2007-02-11,15068.9462891,1161.75195312,2428279.0,63633.8007812,15107.0,17489.0,71798.0
2007-02-18,15385.3759766,1286.0279541,2421529.5,65084.0,14542.0,20471.0,72355.0
2007-02-25,13313.9140625,1077.35400391,2420607.75,56058.6015625,8630.0,15750.0,62641.0
2007-03-04,5550.44384766,860.166015625,2433036.0,23453.1992188,1476.0,10699.0,24681.0
2007-03-11,15092.1298828,1286.84802246,2423097.5,63836.3984375,19016.0,31182.0,66004.0
2007-03-18,13020.1796875,1076.71398926,2421092.25,55110.6015625,16116.0,22775.0,60820.0
2007-03-25,15451.6582031,1112.92602539,2427038.75,64976.8007812,17075.0,20566.0,82296.0
2007-04-01,14143.3818359,1323.08996582,2423872.25,59925.1992188,11715.0,25926.0,82813.0
2007-04-08,12263.4238281,1177.7779541,2425510.25,51854.0,11032.0,15771.0,68183.0
2007-04-15,5034.92578125,1128.10205078,2424060.5,21628.5996094,2876.0,5071.0,21501.0
2007-04-22,8932.97753906,1344.81005859,2419753.5,38640.3984375,16704.0,6764.0,45763.0
2007-04-29,7948.01416016,1088.6619873,2372956.75,34905.6015625,9167.0,6018.0,42928.0
2007-05-06,9235.64648438,1184.7800293,2369645.25,40687.1992188,15519.0,9043.0,48823.0
2007-05-13,9862.03417969,1264.26599121,2369915.25,43139.0,16276.0,17091.0,56782.0
2007-05-20,10326.234375,1203.46398926,2374155.0,44982.3984375,19776.0,16830.0,50348.0
2007-05-27,10152.5136719,1116.35595703,2368737.5,43964.3984375,17641.0,21216.0,51520.0
2007-06-03,9885.70214844,1033.06994629,2368917.0,42787.3984375,16695.0,18069.0,48905.0
2007-06-10,9675.44824219,1584.10998535,2384985.0,42086.3984375,18374.0,17580.0,51220.0
2007-06-17,8854.23242188,1650.14001465,2421377.75,38430.6015625,15843.0,17513.0,45885.0
2007-06-24,5160.77783203,1399.65197754,2425049.25,23032.5996094,3666.0,8580.0,26748.0
2007-07-01,8460.98632812,1371.46203613,2419140.5,36636.6015625,13940.0,17970.0,46739.0
2007-07-08,7604.45410156,1487.62597656,2423248.25,33235.0,12384.0,20924.0,37204.0
2007-07-15,7004.67822266,1434.86206055,2426539.25,30632.1992188,7782.0,9553.0,42542.0
2007-07-22,6556.63623047,1431.18603516,2365035.75,29433.5996094,13285.0,7829.0,33370.0
2007-07-29,6358.85400391,897.668029785,2371999.25,28141.8007812,5466.0,16993.0,31129.0
2007-08-05,6358.47998047,981.057983398,2369005.5,27897.4003906,7021.0,398.0,46536.0
2007-08-12,8132.02587891,875.388000488,2366088.75,35358.0,5409.0,12511.0,60541.0
2007-08-19,7024.70410156,960.892028809,2410202.0,30256.1992188,3613.0,10581.0,50208.0
2007-08-26,8425.72558594,1460.0579834,2424448.0,36472.6015625,14163.0,18716.0,44542.0
2007-09-02,8802.95996094,1555.37194824,2419457.0,38077.0,15432.0,9691.0,48257.0
2007-09-09,9247.66210938,1266.15795898,2412651.5,40017.1992188,12704.0,20838.0,53095.0
2007-09-16,8418.09960938,1226.95800781,2415815.75,36474.3984375,7072.0,12074.0,44591.0
2007-09-23,9015.84375,1213.38806152,2413239.25,38964.0,16500.0,12172.0,51023.0
2007-09-30,11837.2519531,1216.1619873,2411069.5,50403.3984375,10530.0,28007.0,59161.0
2007-10-07,11975.1435547,1094.75402832,2408017.0,50785.3984375,12732.0,29065.0,62154.0
2007-10-14,11585.0019531,980.796020508,2407951.75,49331.0,11446.0,21419.0,52771.0
2007-10-21,12014.0664062,977.546020508,2419366.25,50739.0,10662.0,16757.0,68548.0
2007-10-28,11064.5615234,834.479980469,2426118.75,46891.0,8378.0,13769.0,56687.0
2007-11-04,6557.70019531,689.372009277,2423292.0,27540.1992188,1346.0,13981.0,39160.0
2007-11-11,13598.7382812,1196.59802246,2414541.25,57710.8007812,16269.0,11724.0,65313.0
2007-11-18,15014.2324219,1006.8460083,2426006.75,62967.0,14437.0,18920.0,83825.0
2007-11-25,13323.8740234,923.888000488,2436987.0,55890.1992188,13407.0,15645.0,73046.0
2007-12-02,16148.0400391,1252.44995117,2437270.5,67847.6015625,16810.0,27569.0,82749.0
2007-12-09,14727.7539062,1120.18005371,2424527.5,62300.6015625,16094.0,15232.0,73090.0
